Well ID,S.No,STATE,DISTRICT,BLOCK,LOCATION,LATITUDE,LONGITUDE,pH,EC,CO3,HCO3,Cl,SO4,NO3,PO4,TH,Ca,Mg,Na,K,F,SiO2,TDS,U(ppb)
W114909093023001,6376,Gujarat,Rajkot,Jetpur,Mota Gundala,4.95874539878462e-05,5.75495542364215e-07,0.75,0.031077088369594413,0.0,0.12114882506527415,0.026556473829201104,0.007857142857142858,0.0005714285714285715,0.003791936310851822,0.07334066740007333,0.04339250493096647,0.08110440034512512,0.013603430430282417,0.0,0.0,0.1387900355871886,0.04365916215445996,0.6232155163926358
W114909093023001,6377,Gujarat,Rajkot,Lodhika,Taravada,4.640601711948834e-05,5.750963233198239e-07,0.75,0.06586086489390276,0.0,0.08302872062663186,0.059393939393939395,0.025,0.1582857142857143,0.003791936310851822,0.1982031536486982,0.2366863905325444,0.12079378774805868,0.013899157178766818,0.0,0.0,0.19572953736654802,0.09313194642348248,0.6232155163926358
W114909093023001,6378,Gujarat,Rajkot,Paddhari,Moviya,4.862922117592291e-05,5.770814345938871e-07,0.75,0.18847703464947624,0.0,0.08929503916449086,0.24606060606060606,0.05035714285714286,0.18000000000000002,0.003791936310851822,0.5687568756875687,0.6715976331360947,0.31320103537532357,0.05411799497264527,0.0011862396204033216,0.0,0.2099644128113879,0.2674266172698775,0.6232155163926358
W114909093023001,6379,Gujarat,Rajkot,Rajkot,Rafala,4.806131746396137e-05,5.819405432955411e-07,0.75,0.08581788879935535,0.0,0.12741514360313316,0.08198347107438017,0.0375,0.09085714285714286,0.003791936310851822,0.19086908690869087,0.11045364891518739,0.17946505608283003,0.036226526689339046,0.002372479240806643,0.0,0.1708185053380783,0.12151610145340554,0.6232155163926358
W114909093023001,6380,Gujarat,Rajkot,Rajkot,Golida,4.7767228743818515e-05,5.823858678002223e-07,0.75,0.028982003760408274,0.0,0.13994778067885116,0.015647382920110194,0.009821428571428571,0.04914285714285715,0.003791936310851822,0.06050605060506051,0.0591715976331361,0.057808455565142365,0.013603430430282417,0.0011862396204033216,0.0,0.19217081850533807,0.04069535480193787,0.6232155163926358
W114909093023001,6381,Gujarat,Rajkot,Rajkot,Sardhar2,4.753139707774719e-05,5.819894964460252e-07,0.75,0.043808756379264034,0.0,0.29921671018276763,0.018732782369146005,0.01375,0.03257142857142857,0.003791936310851822,0.053171983865053174,0.03550295857988166,0.06212251941328732,0.034008576075706044,0.0771055753262159,0.0,0.1494661921708185,0.06178398404103733,0.6232155163926358
W114909093023001,6382,Gujarat,Rajkot,Upleta,Upleta,4.61438945645784e-05,5.720187838454836e-07,0.75,0.06510878323932313,0.15625,0.33159268929503916,0.05002754820936639,0.0069642857142857145,0.021142857142857144,0.003791936310851822,0.027502750275027504,0.02366863905325444,0.03882657463330458,0.0773325447286707,0.0011862396204033216,0.08968609865470852,0.14234875444839856,0.09204901681390709,0.6232155163926358
W114909093023001,6383,Gujarat,Rajkot,Vinchhiya,Vinchhiya,4.778022034038376e-05,5.872894547106265e-07,0.75,0.12393231265108784,0.0,0.13994778067885116,0.13278236914600552,0.04428571428571428,0.10742857142857144,0.003791936310851822,0.2605427209387605,0.3244575936883629,0.1458153580672994,0.06550347478929469,0.0011862396204033216,0.04484304932735426,0.23487544483985764,0.1756625819321744,0.6232155163926358
W114909093023001,6384,Gujarat,Sabarkantha,Himatnagar,Gadha1,5.2859096981302536e-05,6.084393989489111e-07,0.75,0.06497448294386247,0.0,0.13368146214099216,0.05311294765840221,0.047857142857142855,0.052571428571428575,0.003791936310851822,0.07150715071507151,0.07889546351084813,0.05953408110440035,0.05692739908324707,0.002372479240806643,0.08968609865470852,0.13167259786476868,0.09187802792818467,0.6232155163926358
W114909093023001,6385,Gujarat,Sabarkantha,Idar,Bhadreshwar(Daramli),5.303544764815221e-05,6.090556933486899e-07,0.75,0.051302712865968304,0.15625,0.15300261096605744,0.03669421487603306,0.03464285714285714,0.025714285714285717,0.003791936310851822,0.05133846718005134,0.027613412228796846,0.0638481449525453,0.04968209374537927,0.0011862396204033216,0.08968609865470852,0.11387900355871886,0.07244229125106869,0.6232155163926358
W114909093023001,6386,Gujarat,Sabarkantha,Khedbrahma,Hingatiya,5.440774999333967e-05,6.094278322153757e-07,0.75,0.05447219983883965,0.0,0.15926892950391644,0.046831955922865015,0.03857142857142857,0.024,0.003791936310851822,0.11001100110011001,0.07100591715976332,0.10785159620362382,0.03193848883631524,0.008303677342823251,0.08968609865470852,0.15658362989323843,0.07694499857509263,0.6232155163926358
W114909093023001,6387,Gujarat,Sabarkantha,Khedbrahma,Khedbramha_1,5.4091507182211845e-05,6.096577221766379e-07,0.75,0.08667741069030352,0.0,0.10182767624020887,0.10082644628099174,0.03535714285714286,0.06857142857142857,0.003791936310851822,0.22753942060872753,0.3717948717948718,0.0828300258843831,0.02957267484844004,0.002372479240806643,0.03587443946188341,0.21708185053380782,0.12271302365346252,0.6232155163926358
W114909093023001,6388,Gujarat,Sabarkantha,Talod,Umedpura,5.1627674825500424e-05,6.091046736200329e-07,0.75,0.0374160623153371,0.0,0.21671018276762402,0.024242424242424242,0.0075,0.05085714285714286,0.003791936310851822,0.06967363403006967,0.03944773175542406,0.07851596203623815,0.025432500369658433,0.00035587188612099647,0.04484304932735426,0.07829181494661921,0.052664576802507836,0.6232155163926358
W114909093023001,6389,Gujarat,Sabarkantha,Talod,Kesarpura(Mayal),5.1671333427642064e-05,6.087173199514516e-07,0.75,0.03814128391082461,0.0,0.17180156657963447,0.027327823691460057,0.012142857142857143,0.05485714285714286,0.003791936310851822,0.05683901723505684,0.03944773175542406,0.0638481449525453,0.03045985509389324,0.0,0.08968609865470852,0.06761565836298931,0.05369051011684241,0.6232155163926358
W114909093023001,6390,Gujarat,Sabarkantha,Vadali,Wadali,5.3622486614317874e-05,6.097888922111622e-07,0.75,0.03220521085146388,0.0,0.0762402088772846,0.02347107438016529,0.011964285714285714,0.052571428571428575,0.003791936310851822,0.06417308397506417,0.07889546351084813,0.050905953408110445,0.015821381043915422,0.0035587188612099647,0.04484304932735426,0.1494661921708185,0.04525505842120262,0.6232155163926358
W114909093023001,6391,Gujarat,Sabarkantha,Vijaynagar,Kherwada,5.374172895773968e-05,6.131220457815208e-07,0.75,0.019231802309965084,0.0,0.11488250652741513,0.01090909090909091,0.005178571428571428,0.0005714285714285715,0.003791936310851822,0.04033736707004034,0.0591715976331361,0.03451251078515962,0.009463255951500812,0.002372479240806643,0.04484304932735426,0.12811387900355872,0.026845255058421204,0.6232155163926358
W114909093023001,6392,Gujarat,Sabarkantha,Vijaynagar,Atarsumba1,5.3829128214211806e-05,6.123150646221553e-07,0.75,0.022508729519204945,0.0,0.08302872062663186,0.01487603305785124,0.006071428571428571,0.03257142857142857,0.003791936310851822,0.05133846718005134,0.07100591715976332,0.04055220017256256,0.008723939080289811,0.002372479240806643,0.04484304932735426,0.11743772241992882,0.03146195497292676,0.6232155163926358
