Well ID,S.No,STATE,DISTRICT,BLOCK,LOCATION,LATITUDE,LONGITUDE,pH,EC,CO3,HCO3,Cl,SO4,NO3,PO4,TH,Ca,Mg,Na,K,F,SiO2,TDS,U(ppb)
W215338082041401,489,Chhattisgarh,Bilaspur,Bilha,Dagauri,21.89,82.07,8.0,1739.0,0.0,665.0,241.0,52.0,8.0,0.0,430.0,44.0,77.0,184.0,93.0,0.0,13.0,,0.0
W225545082040001,490,Chhattisgarh,Bilaspur,Marwahi,Danikundi,22.93,82.07,8.0,585.0,0.0,183.0,64.0,22.0,63.0,0.0,250.0,60.0,24.0,26.0,3.0,0.0,8.0,,3.0
W223800074061501,491,Chhattisgarh,Bilaspur,Marwahi,Dhanpur,22.88,81.99,8.0,122.0,0.0,43.0,14.0,6.0,6.0,0.0,50.0,12.0,5.0,5.0,2.0,0.0,12.0,,1.0
W211255081125001,492,Chhattisgarh,Bilaspur,Takhatpur,Ganiyari,22.19,82.05,8.0,511.0,0.0,268.0,14.0,18.0,16.0,0.0,245.0,48.0,30.0,12.0,1.0,0.0,8.0,,0.0
W221140082082001,493,Chhattisgarh,Bilaspur,Takhatpur,Gatori,22.19,82.14,8.0,252.0,0.0,61.0,43.0,18.0,0.0,0.0,110.0,24.0,12.0,8.0,3.0,0.0,6.0,,1.0
W224515081544001,494,Chhattisgarh,Bilaspur,Gaurela (pendrarod) - 2,Gaurela,22.75,81.91,7.0,1089.0,0.0,293.0,206.0,29.0,7.0,0.0,350.0,84.0,34.0,100.0,2.0,0.0,9.0,,0.0
W222130082081604,495,Chhattisgarh,Bilaspur,kota,Ghansipur (sainik camp),22.36,82.14,7.0,613.0,0.0,305.0,28.0,16.0,7.0,0.0,235.0,44.0,30.0,37.0,1.0,1.0,10.0,,1.0
W215815082030001,496,Chhattisgarh,Bilaspur,Bilha,Hirri,21.97,82.05,7.0,690.0,0.0,268.0,64.0,34.0,1.0,0.0,285.0,48.0,40.0,28.0,3.0,0.0,13.0,,15.0
W221535081564401,497,Chhattisgarh,Bilaspur,Takhatpur,Jaroundha,22.15,81.56,7.0,804.0,0.0,366.0,21.0,77.0,13.0,0.0,360.0,96.0,29.0,26.0,3.0,0.0,11.0,,1.0
W222200081595001,498,Chhattisgarh,Bilaspur,Kota,Jhingatpur,22.37,82.0,7.0,494.0,0.0,268.0,28.0,3.0,4.0,0.0,215.0,44.0,25.0,23.0,2.0,0.0,9.0,,3.0
W221745082043001,499,Chhattisgarh,Bilaspur,Kota,Jogipur,22.3,82.08,7.0,542.0,0.0,232.0,35.0,22.0,27.0,0.0,225.0,52.0,23.0,27.0,1.0,0.0,8.0,,1.0
W223155082045001,500,Chhattisgarh,Bilaspur,Kota,Kenda,22.53,82.08,8.0,264.0,0.0,183.0,14.0,3.0,2.0,0.0,130.0,28.0,14.0,15.0,6.0,0.0,9.0,,0.0
W223715081461501,501,Chhattisgarh,Bilaspur,Gaurela (pendrarod) - 1,Keonchi,22.62,81.77,7.0,359.0,0.0,171.0,21.0,15.0,0.0,0.0,125.0,36.0,8.0,30.0,1.0,1.0,12.0,,1.0
W211753086265701,502,Chhattisgarh,Bilaspur,Kota,Khaira,22.36,82.14,7.0,527.0,0.0,293.0,28.0,9.0,1.0,0.0,195.0,40.0,23.0,45.0,1.0,1.0,10.0,,7.0
W221720082013001,503,Chhattisgarh,Bilaspur,Kota,Kota(kargi),22.29,82.03,7.0,614.0,0.0,140.0,99.0,14.0,58.0,0.0,200.0,72.0,5.0,53.0,2.0,0.0,11.0,,2.0
W225153081584804,504,Chhattisgarh,Bilaspur,Marwahi,Kudwahi,22.86,81.98,7.0,718.0,0.0,256.0,92.0,24.0,8.0,0.0,310.0,76.0,29.0,28.0,1.0,0.0,14.0,,3.0
W220843082245701,505,Chhattisgarh,Bilaspur,Takhatpur,Kuli,22.14,82.42,7.0,172.0,0.0,85.0,7.0,5.0,2.0,0.0,50.0,12.0,5.0,17.0,1.0,0.0,11.0,,1.0
W225432081584101,506,Chhattisgarh,Bilaspur,Marwahi,Lekhani,22.91,81.98,7.0,987.0,0.0,305.0,142.0,36.0,31.0,0.0,450.0,76.0,62.0,28.0,1.0,0.0,10.0,,5.0
W215329082170901,507,Chhattisgarh,Bilaspur,Masturi,Malhar,21.89,82.29,8.0,551.0,0.0,262.0,28.0,36.0,10.0,0.0,245.0,60.0,23.0,27.0,1.0,0.0,8.0,,2.0
W230112082041001,508,Chhattisgarh,Bilaspur,Marwahi,Marwahi,23.02,82.07,8.0,1016.0,0.0,390.0,92.0,60.0,3.0,0.0,450.0,116.0,38.0,27.0,2.0,0.0,12.0,,1.0
W220733082153001,509,Chhattisgarh,Bilaspur,Bilaspur,Matiyari,22.13,82.26,8.0,640.0,0.0,281.0,35.0,24.0,31.0,0.0,260.0,44.0,36.0,33.0,1.0,0.0,7.0,,6.0
W215925082160001,510,Chhattisgarh,Bilaspur,Masturi,Masturi,21.99,82.27,8.0,1275.0,0.0,622.0,78.0,50.0,10.0,0.0,440.0,96.0,48.0,111.0,4.0,1.0,11.0,,3.0
W222308082070204,511,Chhattisgarh,Bilaspur,Kota,Minrapara-Ratanpur,22.39,82.12,8.0,1016.0,0.0,342.0,92.0,58.0,66.0,0.0,450.0,88.0,55.0,32.0,6.0,0.0,14.0,,7.0
W204752082321001,512,Chhattisgarh,Bilaspur,Kota,Nawapara,22.43,82.12,8.0,511.0,0.0,305.0,7.0,8.0,8.0,0.0,250.0,60.0,24.0,10.0,1.0,0.0,10.0,,2.0
W222338081595201,513,Chhattisgarh,Bilaspur,Kota,Nawadih,22.39,82.0,8.0,212.0,0.0,92.0,28.0,16.0,2.0,0.0,90.0,28.0,5.0,19.0,0.0,0.0,12.0,,1.0
W221245081555401,514,Chhattisgarh,Bilaspur,Takhatpur,Neora,22.21,81.93,8.0,702.0,0.0,317.0,43.0,40.0,18.0,0.0,310.0,56.0,41.0,30.0,1.0,0.0,11.0,,0.0
